"","X","act","auc_val","bs_val","decay","dropout","hidden","learning_rate","oe_val","prauc_val","auc.rank","bs.rank"
"1",0,"relu",0.65107645626755,0.169642886841852,0.0001,0,"(3, 9, 5)",0.001,1.03712607275109,0.0572631458786015,2,4
"2",1,"elu",0.649592024669744,0.169665306563799,0.0001,0.4,"(9, 3, 8)",0.001,0.9625866880775,0.0568657190213123,4,6
"3",2,"elu",0.554161485940478,0.170445692899384,0.001,0.1,"(3, 3, 8)",0.0001,0.960572262880031,0.039145900631805,40,37
"4",3,"relu",0.644731629025542,0.169577516058049,0,0.4,"(6, 4, 5)",0.001,1.08351246478921,0.0588507056506896,10,3
"5",4,"elu",0.653957258411976,0.169561125121403,0,0.2,"(10, 5)",0.001,1.17415197299144,0.0602793436507231,1,1
"6",0,"relu",0.641051740336776,0.169732781659953,0.0001,0.1,"(10, 9, 10)",0.0001,1.1057640023589,0.0565419413919345,12,11
"7",1,"elu",0.58520123977741,0.170421784259426,0.001,0.1,"(9, 4, 9)",0.0001,0.932796733715006,0.043791014895378,29,35
"8",2,"relu",0.623393870008594,0.169772228226212,0,0.1,"(5, 3, 8)",0.0001,1.04556343674671,0.0549371682212539,21,15
"9",3,"relu",0.647615889289909,0.170036004961616,0.0001,0.4,"(9, 10, 4)",0.001,1.3263335363915,0.0558704743495899,9,24
"10",4,"relu",0.649119582562006,0.16957454262641,0,0.1,"(5, 10, 6)",0.001,1.20459291110379,0.0594492670148151,7,2
"11",0,"relu",0.584295820078462,0.1703974028623,0.001,0.1,"(6, 9, 8)",0.0001,1.00993395100357,0.0440968168307156,30,32
"12",1,"relu",0.649588276132265,0.169688332417169,0.0001,0.3,"(8, 6, 6)",0.001,0.949399801142954,0.0561759397788334,5,8
"13",2,"elu",0.649128233239961,0.169781233331303,0.0001,0,"(10, 8, 4)",0.001,1.181447547769,0.0569821333398514,6,16
"14",3,"relu",0.618468272938102,0.169838712302423,0.0001,0.1,"(5, 9, 4)",0.0001,0.977005174415647,0.0541963763011378,22,19
"15",4,"relu",0.499906689920722,0.170467081938167,0.01,0.3,"(6, 5)",0.0001,0.924361123774145,0.0308483204364875,47,46
"16",0,"elu",0.580277334120171,0.170423474211504,0.001,0.5,"(9, 3, 10)",0.0001,0.965133502705103,0.0433314677322477,33,36
"17",1,"relu",0.649927249868968,0.169674123740833,0.0001,0.2,"(10, 6, 5)",0.001,0.959768232094934,0.0566006194148581,3,7
"18",2,"elu",0.647890113360936,0.169739373645337,0.0001,0.4,"(6, 7)",0.001,0.991854757287048,0.0565094030697629,8,13
"19",3,"elu",0.47952582980035,0.170449740198313,0.001,0,"(9, 8, 6)",0.001,1.01152188961133,0.0287695967826746,49,40
"20",4,"elu",0.5,0.170456548397699,0.001,0.4,"(6, 5, 10)",0.001,1.05499374357695,0.02995,46,42
"21",0,"elu",0.578453592654252,0.170397308126103,0.001,0,"(6, 5, 8)",0.0001,0.976180304405825,0.0434834009117952,34,31
"22",1,"elu",0.587024196040357,0.169907927077171,0,0.3,"(3, 4, 7)",0.0001,1.03956803021034,0.0511658921595853,28,21
"23",2,"elu",0.636451486202069,0.169739208965951,0.0001,0.1,"(9, 6, 7)",0.0001,0.964874932690399,0.0555804252370211,17,12
"24",3,"elu",0.507442753432757,0.17047847116974,0.01,0.2,"(3, 3)",0.0001,0.904610565970604,0.0320942637645036,45,48
"25",4,"relu",0.494772070205493,0.170459757473166,0.01,0.2,"(7, 4, 6)",0.0001,0.940962693200736,0.0305039896813598,48,44
"26",0,"elu",0.63858267227848,0.169729863264625,0,0.2,"(6,)",0.001,1.08944780383489,0.0553871108465635,14,10
"27",1,"relu",0.589736268284366,0.170393528844354,0.01,0,"(7,)",0.0001,1.01240832608037,0.0415080270198932,27,30
"28",2,"elu",0.64062298724512,0.169656834251303,0,0,"(8,)",0.001,1.07710626117754,0.0569069562418009,13,5
"29",3,"elu",0.636970378981549,0.169695491155451,0,0.1,"(4,)",0.001,0.990082045324175,0.0557317632997847,16,9
