"","X","learning_rate","decay","dropout","hidden","act","auc_val","oe_val","bs_val","prauc_val","auc.rank","bs.rank"
"1",0,0.01,0.001,0.3,"(20, 30, 20)","relu",0.5,0.994983523083499,0.170449465535628,0.02995,72.5,45
"2",1,0.001,0,0.5,"(50, 40, 20)","relu",0.651129478980611,1.08754597877372,0.169507964848717,0.0590754163217685,4,4
"3",2,0.0001,0.0001,0.4,"(40, 50, 30)","elu",0.646876217333513,1.05733461396953,0.169776902198871,0.0558482258704142,20,28
"4",3,0.0001,0.001,0.5,"(10,)","elu",0.640520609684939,1.28176252377506,0.170126632488894,0.0515479935478261,36,36
"5",4,0.01,0,0.5,"(60, 100)","relu",0.384898784970466,173015295484379,0.173060682998768,0.0223030953068518,100,99
"6",5,0.01,0.001,0.4,"(70, 20)","relu",0.5,1.1177645110688,0.170478603780688,0.02995,72.5,91
"7",6,0.001,0.01,0.5,"(30, 50)","relu",0.454343402410543,0.9632929449164,0.170453224534388,0.0263965235625064,96,69
"8",7,0.0001,0.001,0.4,"(10, 40, 50)","elu",0.5,1.03417906717074,0.170452272694359,0.02995,72.5,64
"9",8,0.01,0.01,0.2,"(40, 80)","elu",0.52383847183066,1.07088776603836,0.170460916588339,0.0323869934931936,47,81
"10",9,0.0001,0.0001,0.5,"(100, 100)","relu",0.647536441269958,1.03293199489534,0.169786534571761,0.05470802036058,18,29
"11",10,0.0001,0.01,0,"(90, 100)","relu",0.515415338705585,1.01463474346035,0.170449945690578,0.0310696470993016,49,52
"12",11,0.001,0.0001,0.1,"(60,)","elu",0.644202603900854,0.947655035589632,0.169656862862944,0.0567441316000553,32,13
"13",12,0.0001,0,0.3,"(100, 60)","elu",0.649858762422018,1.00735003016194,0.169497543847421,0.0597243827943734,9,3
"14",13,0.0001,0.0001,0,"(30, 40)","relu",0.644619589704126,0.898427918487619,0.169716259642777,0.0561173480893241,28,24
"15",14,0.001,0.0001,0.1,"(90, 40)","relu",0.648454529089468,0.979408601436936,0.169679959972027,0.0574811687203135,13,20
"16",15,0.0001,0.001,0.2,"(50, 30, 40)","relu",0.5,1.04863504568084,0.170455058585961,0.02995,72.5,72
"17",16,0.0001,0.001,0.5,"(40, 10, 30)","elu",0.5,0.99452858165498,0.170449478289409,0.02995,72.5,46
"18",17,0.001,0.001,0.4,"(50, 30, 40)","elu",0.5,1.04885504096716,0.170455107506783,0.02995,72.5,73
"19",18,0.001,0,0.1,"(20, 10, 10)","relu",0.646164344789208,1.04601331975458,0.169675404379355,0.0573640918927422,22,19
"20",19,0.01,0.0001,0.3,"(20, 20)","relu",0.613832491057936,0.839542004662898,0.170410192777487,0.0416191803836752,39,38
"21",0,0.001,0,0.2,"(50, 40, 40)","relu",0.648120672617344,1.06487941405035,0.169661178093927,0.0570488415026875,16,16
"22",1,0.01,0,0.5,"(50, 100)","elu",0.5,Inf,0.173060682998768,0.02995,72.5,99
"23",2,0.01,0.001,0.2,"(30, 40, 50)","elu",0.5,1.08679062083727,0.170466178966111,0.02995,72.5,84
"24",3,0.001,0.01,0,"(100,)","elu",0.595404070397555,0.952135247612972,0.170363009393902,0.044381896990943,42,37
"25",4,0.001,0,0.5,"(90,)","relu",0.648256327187066,1.12147865817251,0.169582107654327,0.0579285059804771,15,7
"26",5,0.001,0.001,0.1,"(20, 20, 30)","relu",0.5,1.03443992084134,0.170452315251607,0.02995,72.5,65
"27",6,0.001,0.0001,0.4,"(10, 40, 50)","elu",0.645141480775779,1.09251933836228,0.169939864876714,0.0548533798010093,26,34
"28",7,0.001,0,0.1,"(40, 10, 50)","relu",0.650680022883181,0.952556013046133,0.169710228842815,0.058381204640779,5,22
"29",8,0.0001,0.01,0.2,"(90, 30)","elu",0.513359994631363,1.03941421785849,0.170453172581859,0.0330147920625168,51,68
"30",9,0.01,0.001,0.1,"(30, 50, 30)","relu",0.5,1.14889188422879,0.170493585748078,0.02995,72.5,92
"31",10,0.0001,0.01,0.5,"(10, 30, 30)","elu",0.5,1.02146307537738,0.170450560382716,0.02995,72.5,58
"32",11,0.001,0.01,0.5,"(10, 50, 10)","elu",0.5,1.00493414282247,0.170449462082522,0.02995,72.5,44
"33",12,0.001,0,0.4,"(40, 30, 50)","elu",0.653954728014725,1.24731872665412,0.169576324006194,0.0609867692368508,1,6
"34",13,0.0001,0.0001,0.5,"(10, 50)","elu",0.64770357925202,0.974047831089623,0.169760204998374,0.0564413738200293,17,27
"35",14,0.01,0.01,0.2,"(20, 40)","elu",0.514673956512577,0.990239987004004,0.170449646098171,0.0321512826075558,50,48
"36",15,0.0001,0.001,0,"(20, 30, 30)","relu",0.5,1.04625943140466,0.170454542450213,0.02995,72.5,71
"37",16,0.0001,0.01,0,"(30, 50, 20)","elu",0.5,1.05969928301429,0.17045774950163,0.02995,72.5,78
